time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed
5.3,follower_0,77.70801660059291,6.474357759928276,10.4950495049505,7.007272727272717,follower_1,2,47.029702970296974,47.029702970296974,2,1.980198019801982,0,bottom,0,28.336633663366346,28.336633663366346,leader_0,0.0
5.4,follower_0,78.62875775858767,7.081088927624245,10.693069306930699,7.0072727272727136,follower_1,2,45.04950495049499,45.04950495049499,2,1.980198019801982,0,bottom,0,29.405940594059416,29.405940594059416,leader_0,0.0
5.5,follower_0,79.55911353687686,7.709833440822356,10.891089108910897,7.007272727272717,follower_1,2,43.06930693069301,43.06930693069301,2,1.980198019801982,0,bottom,0,30.495049504950504,30.495049504950504,leader_0,0.0
5.6,follower_0,80.48627992004151,8.379148818018129,11.089108910891095,7.007272727272717,follower_1,2,41.08910891089103,41.08910891089103,2,1.980198019801982,0,bottom,0,31.603960396039614,31.603960396039614,leader_0,0.0
5.7,follower_0,81.41710498404888,9.077542564161085,11.287128712871294,7.0072727272727136,follower_1,2,39.108910891089046,39.108910891089046,2,1.980198019801982,0,bottom,0,32.732673267326746,32.732673267326746,leader_0,0.0
5.8,follower_0,82.3485810341388,9.809008419446421,11.485148514851492,7.0072727272727136,follower_1,2,37.128712871287064,37.128712871287064,2,1.980198019801982,0,bottom,0,33.88118811881189,33.88118811881189,leader_0,0.0
5.9,follower_0,83.27763307821469,10.575803977866473,11.68316831683169,7.0072727272727136,follower_1,2,35.14851485148508,35.14851485148508,2,1.980198019801982,0,bottom,0,35.04950495049506,35.04950495049506,leader_0,0.0
6.0,follower_0,84.21449037619183,11.365356669243434,11.881188118811888,7.0072727272727136,follower_1,2,33.1683168316831,33.1683168316831,2,1.980198019801982,0,bottom,0,36.23762376237625,36.23762376237625,leader_0,0.0
6.1,follower_0,85.12770742185184,12.212447411130459,12.079207920792086,7.0072727272727136,follower_1,2,31.188118811881118,31.188118811881118,2,1.980198019801982,0,bottom,0,37.44554455445546,37.44554455445546,leader_0,0.0
6.2,follower_0,86.04488000191736,13.084880001917362,12.277227722772285,7.0072727272727136,follower_1,2,29.207920792079136,29.207920792079136,2,1.980198019801982,0,bottom,0,38.673267326732685,38.673267326732685,leader_0,0.0
